date,home_team,away_team,home_score,away_score,home_won
2021-10-18,Toronto Raptors,LA Clippers,99,98,True
2021-10-18,Denver Nuggets,Chicago Bulls,120,96,True
2021-10-18,Detroit Pistons,Milwaukee Bucks,117,118,False
2021-10-18,Phoenix Suns,San Antonio Spurs,113,110,True
2021-10-18,Denver Nuggets,Oklahoma City Thunder,106,131,False
2021-10-18,New Orleans Pelicans,Denver Nuggets,88,111,False
2021-10-18,San Antonio Spurs,Minnesota Timberwolves,108,115,False
2021-10-18,San Antonio Spurs,LA Lakers,107,115,False
2021-10-19,Milwaukee Bucks,LA Lakers,134,127,True
2021-10-19,New York Knicks,Dallas Mavericks,85,103,False
2021-10-19,San Antonio Spurs,Milwaukee Bucks,108,132,False
2021-10-19,LA Clippers,Houston Rockets,116,117,False
2021-10-19,Phoenix Suns,Oklahoma City Thunder,116,114,True
2021-10-20,Brooklyn Nets,New York Knicks,114,116,False
2021-10-20,Charlotte Hornets,Cleveland Cavaliers,121,108,True
2021-10-20,Utah Jazz,Denver Nuggets,112,111,True
2021-10-20,Portland Trail Blazers,Houston Rockets,119,115,True
2021-10-20,Milwaukee Bucks,Indiana Pacers,125,88,True
2021-10-20,Washington Wizards,Charlotte Hornets,123,124,False
2021-10-20,Cleveland Cavaliers,Brooklyn Nets,105,125,False
2021-10-20,Miami Heat,Detroit Pistons,117,85,True
2021-10-20,Miami Heat,Atlanta Hawks,114,97,True
2021-10-20,Boston Celtics,Denver Nuggets,99,122,False
2021-10-20,New York Knicks,San Antonio Spurs,122,121,True
2021-10-20,Atlanta Hawks,Brooklyn Nets,124,106,True
2021-10-21,Minnesota Timberwolves,Milwaukee Bucks,112,99,True
2021-10-21,Memphis Grizzlies,Minnesota Timberwolves,131,93,True
2021-10-21,San Antonio Spurs,Chicago Bulls,125,104,True
2021-10-21,LA Lakers,LA Clippers,124,109,True
2021-10-21,New York Knicks,New Orleans Pelicans,101,94,True
2021-10-21,Charlotte Hornets,Phoenix Suns,111,112,False
2021-10-21,Brooklyn Nets,LA Lakers,118,114,True
2021-10-21,New Orleans Pelicans,Houston Rockets,107,90,True
2021-10-21,Philadelphia 76ers,Memphis Grizzlies,129,108,True
2021-10-21,Cleveland Cavaliers,Chicago Bulls,118,102,True
2021-10-22,Memphis Grizzlies,Denver Nuggets,117,123,False
2021-10-22,Portland Trail Blazers,New Orleans Pelicans,122,116,True
2021-10-22,Houston Rockets,San Antonio Spurs,107,112,False
2021-10-22,Utah Jazz,New Orleans Pelicans,100,129,False
2021-10-22,Houston Rockets,Indiana Pacers,107,96,True
2021-10-22,Boston Celtics,Chicago Bulls,105,102,True
2021-10-22,Denver Nuggets,Sacramento Kings,143,103,True
2021-10-23,Indiana Pacers,Detroit Pistons,115,121,False
2021-10-23,Washington Wizards,Utah Jazz,121,107,True
2021-10-23,Atlanta Hawks,Toronto Raptors,104,111,False
2021-10-23,Boston Celtics,New York Knicks,113,114,False
2021-10-23,Toronto Raptors,Detroit Pistons,118,109,True
2021-10-23,San Antonio Spurs,New Orleans Pelicans,103,101,True
2021-10-23,Indiana Pacers,Utah Jazz,114,117,False
2021-10-23,Orlando Magic,Detroit Pistons,107,118,False
2021-10-23,Charlotte Hornets,Phoenix Suns,120,99,True
2021-10-24,Brooklyn Nets,Boston Celtics,90,103,False
2021-10-24,Orlando Magic,Minnesota Timberwolves,120,101,True
2021-10-24,LA Clippers,San Antonio Spurs,122,100,True
2021-10-24,Toronto Raptors,Oklahoma City Thunder,104,127,False
2021-10-24,Indiana Pacers,Chicago Bulls,110,100,True
2021-10-24,Cleveland Cavaliers,Detroit Pistons,115,92,True
2021-10-24,LA Lakers,Houston Rockets,122,105,True
2021-10-24,Milwaukee Bucks,Phoenix Suns,94,92,True
2021-10-24,New York Knicks,Chicago Bulls,112,97,True
2021-10-24,Philadelphia 76ers,Minnesota Timberwolves,118,111,True
2021-10-24,Cleveland Cavaliers,Charlotte Hornets,103,116,False
2021-10-24,Dallas Mavericks,Denver Nuggets,119,99,True
2021-10-24,Sacramento Kings,Chicago Bulls,121,116,True
2021-10-25,Portland Trail Blazers,Oklahoma City Thunder,104,107,False
2021-10-25,Charlotte Hornets,San Antonio Spurs,100,123,False
2021-10-25,Philadelphia 76ers,Toronto Raptors,103,100,True
2021-10-25,Charlotte Hornets,San Antonio Spurs,107,94,True
2021-10-25,New York Knicks,Washington Wizards,120,101,True
2021-10-25,Toronto Raptors,Denver Nuggets,98,126,False
2021-10-26,New Orleans Pelicans,Toronto Raptors,110,119,False
2021-10-26,Sacramento Kings,Chicago Bulls,110,111,False
2021-10-26,Phoenix Suns,Philadelphia 76ers,121,104,True
2021-10-26,Oklahoma City Thunder,New York Knicks,111,101,True
2021-10-26,Denver Nuggets,Dallas Mavericks,131,89,True
2021-10-26,Charlotte Hornets,Oklahoma City Thunder,117,112,True
2021-10-26,Sacramento Kings,Portland Trail Blazers,115,114,True
2021-10-26,Oklahoma City Thunder,Golden State Warriors,121,113,True
2021-10-26,LA Lakers,Cleveland Cavaliers,128,108,True
2021-10-26,Boston Celtics,Philadelphia 76ers,115,103,True
2021-10-26,Indiana Pacers,Phoenix Suns,110,128,False
2021-10-26,Houston Rockets,Cleveland Cavaliers,97,128,False
2021-10-26,LA Lakers,Detroit Pistons,118,104,True
2021-10-27,Miami Heat,Denver Nuggets,87,121,False
2021-10-27,Denver Nuggets,Oklahoma City Thunder,121,108,True
2021-10-27,Charlotte Hornets,Brooklyn Nets,93,122,False
2021-10-27,San Antonio Spurs,LA Lakers,107,104,True
2021-10-27,Washington Wizards,Minnesota Timberwolves,106,118,False
2021-10-27,Phoenix Suns,Minnesota Timberwolves,106,119,False
2021-10-27,Miami Heat,New Orleans Pelicans,102,100,True
2021-10-27,Sacramento Kings,New Orleans Pelicans,136,107,True
2021-10-27,Golden State Warriors,Minnesota Timberwolves,90,109,False
2021-10-27,Denver Nuggets,Washington Wizards,110,99,True
2021-10-27,Phoenix Suns,LA Lakers,116,112,True
2021-10-27,Philadelphia 76ers,New York Knicks,108,102,True
2021-10-28,Utah Jazz,LA Lakers,89,114,False
2021-10-28,Atlanta Hawks,LA Clippers,116,125,False
2021-10-28,Charlotte Hornets,Toronto Raptors,90,107,False
2021-10-28,New York Knicks,Chicago Bulls,102,111,False
2021-10-28,San Antonio Spurs,Atlanta Hawks,95,105,False
2021-10-28,Orlando Magic,Milwaukee Bucks,87,128,False
2021-10-28,Charlotte Hornets,Portland Trail Blazers,120,113,True
2021-10-28,LA Clippers,Charlotte Hornets,119,112,True
2021-10-28,Miami Heat,Utah Jazz,121,120,True
2021-10-29,New Orleans Pelicans,New York Knicks,114,94,True
2021-10-29,Houston Rockets,Memphis Grizzlies,124,115,True
2021-10-29,Houston Rockets,Oklahoma City Thunder,132,100,True
2021-10-29,Atlanta Hawks,Cleveland Cavaliers,103,104,False
2021-10-29,Indiana Pacers,Milwaukee Bucks,106,95,True
2021-10-29,Philadelphia 76ers,Boston Celtics,109,108,True
2021-10-29,Indiana Pacers,Orlando Magic,111,114,False
2021-10-29,Indiana Pacers,Sacramento Kings,121,104,True
2021-10-30,Utah Jazz,San Antonio Spurs,119,106,True
2021-10-30,Phoenix Suns,Orlando Magic,107,98,True
2021-10-30,Denver Nuggets,LA Lakers,121,107,True
2021-10-30,Utah Jazz,Golden State Warriors,120,104,True
2021-10-30,Dallas Mavericks,LA Clippers,100,109,False
2021-10-30,Washington Wizards,Phoenix Suns,120,119,True
2021-10-30,Memphis Grizzlies,Washington Wizards,103,110,False
2021-10-30,Minnesota Timberwolves,Detroit Pistons,116,85,True
2021-10-30,Orlando Magic,New Orleans Pelicans,99,125,False
2021-10-30,Dallas Mavericks,Detroit Pistons,110,96,True
2021-10-31,LA Clippers,Boston Celtics,110,107,True
2021-10-31,Detroit Pistons,Chicago Bulls,96,106,False
2021-10-31,LA Lakers,Chicago Bulls,133,130,True
2021-10-31,LA Clippers,LA Lakers,124,95,True
2021-10-31,Miami Heat,Indiana Pacers,132,131,True
2021-10-31,Portland Trail Blazers,Houston Rockets,103,111,False
2021-11-01,Atlanta Hawks,Houston Rockets,111,109,True
2021-11-01,Memphis Grizzlies,LA Lakers,116,141,False
2021-11-01,Indiana Pacers,New York Knicks,130,108,True
2021-11-01,Detroit Pistons,Boston Celtics,123,126,False
2021-11-01,Dallas Mavericks,Boston Celtics,92,107,False
2021-11-01,Charlotte Hornets,Oklahoma City Thunder,98,103,False
2021-11-01,Phoenix Suns,Houston Rockets,108,90,True
2021-11-01,Portland Trail Blazers,Denver Nuggets,135,100,True
2021-11-01,Dallas Mavericks,Philadelphia 76ers,120,115,True
2021-11-01,Washington Wizards,Toronto Raptors,118,108,True
2021-11-01,Detroit Pistons,Phoenix Suns,95,97,False
2021-11-01,Washington Wizards,Memphis Grizzlies,125,124,True
2021-11-01,New York Knicks,San Antonio Spurs,105,118,False
2021-11-02,New York Knicks,Minnesota Timberwolves,112,115,False
2021-11-02,Miami Heat,Toronto Raptors,128,116,True
2021-11-02,Minnesota Timberwolves,Detroit Pistons,139,104,True
2021-11-02,Utah Jazz,New York Knicks,112,131,False
2021-11-02,LA Lakers,Portland Trail Blazers,105,101,True
2021-11-02,Indiana Pacers,Sacramento Kings,111,105,True
2021-11-02,Toronto Raptors,Indiana Pacers,118,111,True
2021-11-02,Atlanta Hawks,Charlotte Hornets,122,113,True
2021-11-02,LA Lakers,New Orleans Pelicans,96,117,False
2021-11-02,Brooklyn Nets,Portland Trail Blazers,104,101,True
2021-11-02,Detroit Pistons,LA Lakers,88,124,False
2021-11-03,New York Knicks,Orlando Magic,121,99,True
2021-11-03,Indiana Pacers,Orlando Magic,96,120,False
2021-11-03,Miami Heat,Chicago Bulls,119,115,True
2021-11-03,New York Knicks,Philadelphia 76ers,106,102,True
2021-11-03,Dallas Mavericks,Brooklyn Nets,122,118,True
2021-11-03,Portland Trail Blazers,New York Knicks,128,123,True
2021-11-03,LA Clippers,Portland Trail Blazers,116,109,True
2021-11-03,Memphis Grizzlies,Toronto Raptors,122,128,False
2021-11-03,Denver Nuggets,Cleveland Cavaliers,105,100,True
2021-11-03,Phoenix Suns,Charlotte Hornets,119,105,True
2021-11-03,Milwaukee Bucks,LA Lakers,137,133,True
2021-11-04,Oklahoma City Thunder,Chicago Bulls,86,111,False
2021-11-04,Indiana Pacers,LA Clippers,116,102,True
2021-11-04,New Orleans Pelicans,Golden State Warriors,114,125,False
2021-11-04,Utah Jazz,Orlando Magic,97,106,False
2021-11-04,Phoenix Suns,Orlando Magic,108,103,True
2021-11-04,Boston Celtics,Denver Nuggets,121,112,True
2021-11-04,Golden State Warriors,Houston Rockets,120,116,True
2021-11-04,New Orleans Pelicans,San Antonio Spurs,116,105,True
2021-11-04,Orlando Magic,Boston Celtics,108,127,False
2021-11-04,Indiana Pacers,LA Lakers,115,120,False
2021-11-04,Houston Rockets,Orlando Magic,119,110,True
2021-11-04,Sacramento Kings,Phoenix Suns,111,118,False
2021-11-04,Sacramento Kings,Philadelphia 76ers,91,116,False
2021-11-05,Utah Jazz,Toronto Raptors,108,92,True
2021-11-05,Houston Rockets,Philadelphia 76ers,92,117,False
2021-11-05,Minnesota Timberwolves,Denver Nuggets,110,103,True
2021-11-05,Sacramento Kings,Dallas Mavericks,98,131,False
2021-11-05,Houston Rockets,Milwaukee Bucks,110,103,True
2021-11-05,LA Lakers,Philadelphia 76ers,99,103,False
2021-11-05,Portland Trail Blazers,Denver Nuggets,102,114,False
2021-11-05,Brooklyn Nets,Portland Trail Blazers,98,115,False
2021-11-05,Houston Rockets,Brooklyn Nets,101,116,False
2021-11-05,New York Knicks,Memphis Grizzlies,116,121,False
2021-11-05,Boston Celtics,Portland Trail Blazers,120,117,True
2021-11-06,Phoenix Suns,Milwaukee Bucks,104,118,False
2021-11-06,Houston Rockets,San Antonio Spurs,123,115,True
2021-11-06,Milwaukee Bucks,Houston Rockets,128,109,True
2021-11-06,Dallas Mavericks,New York Knicks,109,107,True
2021-11-06,Brooklyn Nets,San Antonio Spurs,95,124,False
2021-11-06,Oklahoma City Thunder,Orlando Magic,120,114,True
2021-11-06,Orlando Magic,Houston Rockets,119,104,True
2021-11-06,Memphis Grizzlies,Philadelphia 76ers,136,132,True
2021-11-06,Boston Celtics,Houston Rockets,124,105,True
2021-11-06,Boston Celtics,Portland Trail Blazers,120,104,True
2021-11-07,Chicago Bulls,New York Knicks,117,121,False
2021-11-07,Philadelphia 76ers,New York Knicks,128,111,True
2021-11-07,Indiana Pacers,Dallas Mavericks,123,97,True
2021-11-07,Miami Heat,Atlanta Hawks,118,109,True
2021-11-07,Oklahoma City Thunder,Indiana Pacers,111,89,True
2021-11-07,San Antonio Spurs,Portland Trail Blazers,88,107,False
2021-11-07,New York Knicks,Phoenix Suns,121,126,False
2021-11-08,Sacramento Kings,LA Lakers,113,95,True
2021-11-08,San Antonio Spurs,New York Knicks,128,111,True
2021-11-08,Houston Rockets,Utah Jazz,114,106,True
2021-11-08,Portland Trail Blazers,New York Knicks,105,103,True
2021-11-08,Oklahoma City Thunder,Indiana Pacers,107,98,True
2021-11-08,New Orleans Pelicans,LA Lakers,111,105,True
2021-11-08,Charlotte Hornets,Milwaukee Bucks,120,95,True
2021-11-08,Toronto Raptors,Sacramento Kings,90,108,False
2021-11-09,Utah Jazz,Dallas Mavericks,106,126,False
2021-11-09,New Orleans Pelicans,Utah Jazz,113,90,True
2021-11-09,Charlotte Hornets,Oklahoma City Thunder,102,107,False
2021-11-09,San Antonio Spurs,Portland Trail Blazers,97,114,False
2021-11-09,Sacramento Kings,Atlanta Hawks,110,122,False
2021-11-10,Detroit Pistons,New York Knicks,117,90,True
2021-11-10,San Antonio Spurs,Detroit Pistons,111,101,True
2021-11-10,Cleveland Cavaliers,Charlotte Hornets,128,98,True
2021-11-10,Portland Trail Blazers,Minnesota Timberwolves,122,114,True
2021-11-10,Brooklyn Nets,Denver Nuggets,102,114,False
2021-11-10,New Orleans Pelicans,Dallas Mavericks,106,104,True
2021-11-10,LA Clippers,Golden State Warriors,120,115,True
2021-11-11,Toronto Raptors,Detroit Pistons,112,100,True
2021-11-11,Detroit Pistons,Dallas Mavericks,120,121,False
2021-11-11,Sacramento Kings,Memphis Grizzlies,119,98,True
2021-11-11,Milwaukee Bucks,Denver Nuggets,110,119,False
2021-11-11,San Antonio Spurs,LA Clippers,108,133,False
2021-11-11,Oklahoma City Thunder,Chicago Bulls,102,96,True
2021-11-11,Golden State Warriors,Indiana Pacers,116,100,True
2021-11-11,New Orleans Pelicans,Chicago Bulls,93,120,False
2021-11-11,Houston Rockets,New York Knicks,115,111,True
2021-11-11,Memphis Grizzlies,Boston Celtics,109,111,False
2021-11-11,Washington Wizards,Chicago Bulls,105,115,False
2021-11-11,Denver Nuggets,Boston Celtics,119,105,True
2021-11-11,Golden State Warriors,New York Knicks,106,107,False
2021-11-11,Houston Rockets,Milwaukee Bucks,105,120,False
2021-11-12,Dallas Mavericks,Utah Jazz,109,102,True
2021-11-12,LA Lakers,Cleveland Cavaliers,99,98,True
2021-11-12,Sacramento Kings,Golden State Warriors,97,118,False
2021-11-12,LA Lakers,Washington Wizards,121,100,True
2021-11-12,Chicago Bulls,Toronto Raptors,102,106,False
2021-11-12,Sacramento Kings,Washington Wizards,122,88,True
2021-11-12,Charlotte Hornets,Brooklyn Nets,102,106,False
2021-11-13,Atlanta Hawks,Orlando Magic,119,124,False
2021-11-13,Chicago Bulls,Detroit Pistons,118,101,True
2021-11-13,Charlotte Hornets,Miami Heat,115,119,False
2021-11-13,Orlando Magic,Charlotte Hornets,88,118,False
2021-11-13,Toronto Raptors,LA Clippers,123,104,True
2021-11-13,Boston Celtics,New York Knicks,103,92,True
2021-11-13,Detroit Pistons,Phoenix Suns,108,120,False
2021-11-13,Detroit Pistons,Cleveland Cavaliers,113,99,True
2021-11-14,Toronto Raptors,Milwaukee Bucks,128,119,True
2021-11-14,Phoenix Suns,Toronto Raptors,122,110,True
2021-11-14,Minnesota Timberwolves,Denver Nuggets,113,120,False
2021-11-14,Orlando Magic,Detroit Pistons,115,113,True
2021-11-14,Milwaukee Bucks,Golden State Warriors,106,126,False
2021-11-14,Minnesota Timberwolves,Atlanta Hawks,115,105,True
2021-11-14,Charlotte Hornets,Miami Heat,116,96,True
2021-11-14,Minnesota Timberwolves,Detroit Pistons,131,105,True
2021-11-14,Boston Celtics,Cleveland Cavaliers,102,85,True
2021-11-14,Phoenix Suns,LA Lakers,126,101,True
2021-11-14,Sacramento Kings,New York Knicks,102,96,True
2021-11-14,Brooklyn Nets,LA Clippers,101,111,False
2021-11-15,Portland Trail Blazers,Dallas Mavericks,119,112,True
2021-11-15,Sacramento Kings,Milwaukee Bucks,107,108,False
2021-11-15,Sacramento Kings,LA Clippers,122,131,False
2021-11-15,Cleveland Cavaliers,Phoenix Suns,98,114,False
2021-11-15,Dallas Mavericks,Boston Celtics,101,99,True
2021-11-15,Philadelphia 76ers,New Orleans Pelicans,111,100,True
2021-11-15,Brooklyn Nets,Toronto Raptors,110,117,False
2021-11-15,Denver Nuggets,Sacramento Kings,120,104,True
2021-11-15,Atlanta Hawks,LA Lakers,116,141,False
2021-11-15,Memphis Grizzlies,San Antonio Spurs,103,99,True
2021-11-15,Indiana Pacers,Toronto Raptors,118,92,True
2021-11-15,Brooklyn Nets,Atlanta Hawks,106,101,True
2021-11-15,Orlando Magic,Miami Heat,104,85,True
2021-11-15,Houston Rockets,Phoenix Suns,87,113,False
2021-11-16,Minnesota Timberwolves,Orlando Magic,112,110,True
2021-11-16,Memphis Grizzlies,Indiana Pacers,114,99,True
2021-11-16,Indiana Pacers,Detroit Pistons,130,110,True
2021-11-16,Charlotte Hornets,Utah Jazz,109,106,True
2021-11-16,Houston Rockets,Atlanta Hawks,117,123,False
2021-11-16,Golden State Warriors,Chicago Bulls,127,87,True
2021-11-16,LA Lakers,Portland Trail Blazers,122,111,True
2021-11-16,New Orleans Pelicans,Milwaukee Bucks,129,134,False
2021-11-16,New Orleans Pelicans,Atlanta Hawks,121,106,True
2021-11-16,Cleveland Cavaliers,Philadelphia 76ers,124,103,True
2021-11-17,New Orleans Pelicans,Chicago Bulls,93,92,True
2021-11-17,Philadelphia 76ers,Golden State Warriors,105,96,True
2021-11-17,Miami Heat,LA Lakers,108,103,True
2021-11-17,Charlotte Hornets,Boston Celtics,106,112,False
2021-11-17,Golden State Warriors,Washington Wizards,124,86,True
2021-11-17,Brooklyn Nets,Cleveland Cavaliers,114,105,True
2021-11-17,Houston Rockets,LA Clippers,124,100,True
2021-11-17,Charlotte Hornets,Sacramento Kings,109,110,False
2021-11-17,Miami Heat,Orlando Magic,114,101,True
2021-11-17,Portland Trail Blazers,Cleveland Cavaliers,108,102,True
2021-11-18,Brooklyn Nets,Houston Rockets,90,104,False
2021-11-18,San Antonio Spurs,Washington Wizards,112,94,True
2021-11-18,Toronto Raptors,Oklahoma City Thunder,111,122,False
2021-11-18,Portland Trail Blazers,Oklahoma City Thunder,105,117,False
2021-11-18,Phoenix Suns,New York Knicks,115,114,True
2021-11-18,New York Knicks,Memphis Grizzlies,108,97,True
2021-11-18,New York Knicks,Oklahoma City Thunder,131,98,True
2021-11-18,Dallas Mavericks,Memphis Grizzlies,103,109,False
2021-11-18,Cleveland Cavaliers,Miami Heat,93,102,False
2021-11-18,Houston Rockets,Denver Nuggets,105,127,False
2021-11-19,Miami Heat,Portland Trail Blazers,124,105,True
2021-11-19,Denver Nuggets,Toronto Raptors,109,108,True
2021-11-19,LA Clippers,Indiana Pacers,122,116,True
2021-11-19,Brooklyn Nets,Sacramento Kings,102,124,False
2021-11-19,Charlotte Hornets,Dallas Mavericks,104,117,False
2021-11-19,Golden State Warriors,Minnesota Timberwolves,130,92,True
2021-11-19,Cleveland Cavaliers,Memphis Grizzlies,100,97,True
2021-11-19,Charlotte Hornets,Indiana Pacers,118,123,False
2021-11-19,Chicago Bulls,New York Knicks,115,125,False
2021-11-20,Phoenix Suns,Atlanta Hawks,128,96,True
2021-11-20,Oklahoma City Thunder,Sacramento Kings,119,113,True
2021-11-20,Cleveland Cavaliers,Denver Nuggets,125,100,True
2021-11-20,Memphis Grizzlies,Indiana Pacers,115,109,True
2021-11-20,Chicago Bulls,Brooklyn Nets,114,110,True
2021-11-20,Atlanta Hawks,Utah Jazz,110,98,True
2021-11-20,New Orleans Pelicans,Charlotte Hornets,120,100,True
2021-11-20,Charlotte Hornets,Oklahoma City Thunder,104,111,False
2021-11-20,LA Lakers,Minnesota Timberwolves,118,120,False
2021-11-20,Oklahoma City Thunder,Boston Celtics,116,123,False
2021-11-20,Miami Heat,Minnesota Timberwolves,109,95,True
2021-11-20,Detroit Pistons,Brooklyn Nets,96,104,False
2021-11-20,Memphis Grizzlies,Phoenix Suns,85,123,False
2021-11-20,Charlotte Hornets,Orlando Magic,120,107,True
2021-11-21,Charlotte Hornets,Houston Rockets,123,131,False
2021-11-21,Brooklyn Nets,Indiana Pacers,117,112,True
2021-11-21,Cleveland Cavaliers,Miami Heat,121,97,True
2021-11-21,LA Lakers,Memphis Grizzlies,103,96,True
2021-11-21,LA Clippers,New Orleans Pelicans,130,92,True
2021-11-21,Brooklyn Nets,Minnesota Timberwolves,104,123,False
2021-11-21,Toronto Raptors,LA Lakers,134,126,True
2021-11-21,Memphis Grizzlies,Washington Wizards,102,94,True
2021-11-21,Philadelphia 76ers,Toronto Raptors,119,97,True
2021-11-21,Chicago Bulls,Atlanta Hawks,112,107,True
2021-11-21,San Antonio Spurs,Milwaukee Bucks,123,127,False
2021-11-21,Atlanta Hawks,Brooklyn Nets,116,90,True
2021-11-22,Oklahoma City Thunder,Chicago Bulls,124,120,True
2021-11-22,Dallas Mavericks,Miami Heat,106,99,True
2021-11-22,Minnesota Timberwolves,New Orleans Pelicans,106,113,False
2021-11-22,Phoenix Suns,Chicago Bulls,93,130,False
2021-11-22,Oklahoma City Thunder,Golden State Warriors,103,87,True
2021-11-22,New Orleans Pelicans,San Antonio Spurs,99,112,False
2021-11-22,Charlotte Hornets,Toronto Raptors,116,111,True
2021-11-22,Oklahoma City Thunder,Toronto Raptors,118,95,True
2021-11-22,New York Knicks,Phoenix Suns,85,106,False
2021-11-22,Milwaukee Bucks,Boston Celtics,110,107,True
2021-11-22,Houston Rockets,Philadelphia 76ers,102,127,False
2021-11-22,Philadelphia 76ers,New York Knicks,89,140,False
2021-11-22,Houston Rockets,Washington Wizards,106,119,False
2021-11-22,Oklahoma City Thunder,Boston Celtics,108,110,False
2021-11-23,Phoenix Suns,Washington Wizards,121,110,True
2021-11-23,Utah Jazz,Philadelphia 76ers,105,99,True
2021-11-23,Houston Rockets,New York Knicks,113,112,True
2021-11-23,Miami Heat,San Antonio Spurs,121,118,True
2021-11-23,Miami Heat,Indiana Pacers,92,127,False
2021-11-24,Detroit Pistons,Atlanta Hawks,103,99,True
2021-11-24,Orlando Magic,Houston Rockets,99,93,True
2021-11-24,Portland Trail Blazers,LA Clippers,111,112,False
2021-11-24,San Antonio Spurs,Orlando Magic,127,108,True
2021-11-24,Charlotte Hornets,San Antonio Spurs,123,117,True
2021-11-24,Memphis Grizzlies,Milwaukee Bucks,86,98,False
2021-11-24,Detroit Pistons,Phoenix Suns,105,109,False
2021-11-24,Cleveland Cavaliers,Houston Rockets,100,125,False
2021-11-24,Sacramento Kings,New Orleans Pelicans,117,109,True
2021-11-24,Denver Nuggets,Toronto Raptors,115,109,True
2021-11-24,Indiana Pacers,Miami Heat,109,120,False
2021-11-25,Orlando Magic,Boston Celtics,106,115,False
2021-11-25,Minnesota Timberwolves,Oklahoma City Thunder,117,86,True
2021-11-25,New Orleans Pelicans,Cleveland Cavaliers,124,108,True
2021-11-25,Toronto Raptors,Dallas Mavericks,115,105,True
2021-11-25,Utah Jazz,Memphis Grizzlies,114,117,False
2021-11-25,Utah Jazz,Orlando Magic,115,117,False
2021-11-25,Oklahoma City Thunder,Houston Rockets,108,98,True
2021-11-25,Charlotte Hornets,LA Clippers,129,91,True
2021-11-25,San Antonio Spurs,Detroit Pistons,114,115,False
2021-11-25,Orlando Magic,San Antonio Spurs,127,97,True
2021-11-25,Washington Wizards,Sacramento Kings,119,116,True
2021-11-25,Minnesota Timberwolves,Washington Wizards,114,107,True
2021-11-25,Atlanta Hawks,Phoenix Suns,108,120,False
2021-11-26,Utah Jazz,New Orleans Pelicans,106,113,False
2021-11-26,San Antonio Spurs,New Orleans Pelicans,96,121,False
2021-11-26,Atlanta Hawks,Indiana Pacers,145,92,True
2021-11-26,Phoenix Suns,Chicago Bulls,136,87,True
2021-11-26,Boston Celtics,Memphis Grizzlies,125,107,True
2021-11-26,Golden State Warriors,Portland Trail Blazers,107,115,False
2021-11-26,Houston Rockets,Philadelphia 76ers,116,98,True
2021-11-26,Brooklyn Nets,Dallas Mavericks,103,118,False
2021-11-26,Orlando Magic,Dallas Mavericks,117,95,True
2021-11-26,Philadelphia 76ers,Utah Jazz,111,102,True
2021-11-26,Milwaukee Bucks,Denver Nuggets,90,122,False
2021-11-26,Cleveland Cavaliers,Memphis Grizzlies,114,86,True
2021-11-26,Orlando Magic,New York Knicks,103,108,False
2021-11-27,Toronto Raptors,Chicago Bulls,119,86,True
2021-11-27,New York Knicks,Washington Wizards,123,121,True
2021-11-27,Denver Nuggets,Orlando Magic,116,96,True
2021-11-27,Houston Rockets,Cleveland Cavaliers,113,103,True
2021-11-27,Phoenix Suns,Charlotte Hornets,130,122,True
